Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating (Out of 5),Prediction
Grapeseed Oil,Grapeseed Oil,Maple Syrup,Butter,Garlic,None,23.35,3.3,Safe
Lobster,Lobster,Honey,Olive Oil,Pepper,Lobster,40.53,2.7,May Contain
Walnuts,Walnuts,Maple Syrup,None,Garlic,Walnuts,44.48,4.9,Contains
Benzoates,Benzoates,None,Coconut Oil,Pepper,None,6.82,2.9,Contains
Cheese,Cheese,Honey,Coconut Oil,None,Cheese,5.81,4.3,Contains
Sunflower Oil,Sunflower Oil,Maple Syrup,None,Pepper,None,39.08,3.7,May Contain
Rabbit,Rabbit,None,Olive Oil,None,None,45.36,2.1,Contains
Whey,Whey,None,Coconut Oil,Pepper,Whey,17.59,3.3,Contains
Oregano,Oregano,Maple Syrup,Butter,Salt,None,40.45,2.2,Safe
Ginger,Ginger,Sugar,Coconut Oil,Salt,None,39.73,3.7,May Contain
Ghee,Ghee,Honey,None,Pepper,Ghee,47.48,2.9,May Contain
Walnuts,Walnuts,Maple Syrup,None,None,Walnuts,28.46,4.7,Safe
Veal,Veal,Honey,Coconut Oil,None,None,18.87,1.8,Contains
Pistachios,Pistachios,Honey,Olive Oil,Garlic,Pistachios,25.55,1.2,Safe
Farro,Farro,Sugar,Coconut Oil,Garlic,Farro,44.58,3.2,May Contain
Rabbit,Rabbit,Sugar,None,Pepper,None,18.17,3.9,Contains
Canola Oil,Canola Oil,None,Olive Oil,Salt,None,23.12,4.6,Safe
Farro,Farro,Maple Syrup,Olive Oil,None,Farro,12.97,1.9,May Contain
Lychee,Lychee,Sugar,Olive Oil,Pepper,None,44.68,4.1,Contains
Cod,Cod,Sugar,Olive Oil,Garlic,Cod,20.16,3.1,May Contain
Butter,Butter,None,Olive Oil,Pepper,Butter,45.09,2.7,May Contain
Sodium Benzoate,Sodium Benzoate,Sugar,Butter,None,None,31.36,2.4,Contains
Basil,Basil,None,Olive Oil,Garlic,None,16.91,2,Contains
Celery,Celery,Honey,None,Garlic,None,28.36,2.9,May Contain
Cheese,Cheese,Honey,Butter,None,Cheese,34.19,1.6,Contains
Avocado Oil,Avocado Oil,Honey,Butter,Salt,None,39.18,2,Contains
Mussels,Mussels,Sugar,Coconut Oil,Salt,Mussels,46.95,4,Safe
MSG,MSG,Maple Syrup,Butter,Garlic,None,29.21,1.1,Contains
Pomegranate,Pomegranate,Honey,Coconut Oil,Salt,None,18.33,4.6,May Contain
Avocado Oil,Avocado Oil,Honey,Olive Oil,None,None,11.77,2.2,Contains
Fig,Fig,Sugar,Coconut Oil,Pepper,None,21.22,1.7,Contains
Potassium Sorbate,Potassium Sorbate,None,None,Garlic,None,16.41,1.1,Contains
Whey,Whey,Maple Syrup,Olive Oil,Pepper,Whey,15.12,3,Safe
Rye,Rye,Maple Syrup,Butter,None,Rye,14.78,2.6,Contains
Xanthan Gum,Xanthan Gum,Maple Syrup,None,None,None,10.86,1.9,May Contain
Chicken,Chicken,Maple Syrup,Butter,Salt,None,35.59,4.5,Safe
Fig,Fig,Sugar,Olive Oil,Garlic,None,32.62,4,Contains
Sardines,Sardines,Maple Syrup,Olive Oil,None,Sardines,37.05,3.9,Safe
Soybeans,Soybeans,Honey,None,Salt,Soybeans,32.8,1.6,Safe
Wheat,Wheat,Maple Syrup,None,Pepper,Wheat,8.72,3.5,Contains
Squid,Squid,Maple Syrup,Olive Oil,Garlic,Squid,23.28,3.6,Safe
Grapes,Grapes,Maple Syrup,Olive Oil,Salt,None,44.12,4.8,Contains
Walnuts,Walnuts,None,Coconut Oil,Garlic,Walnuts,47.32,1.1,Safe
Sesame Seeds,Sesame Seeds,Honey,None,Salt,Sesame Seeds,17.02,3.2,Contains
Chia Seeds,Chia Seeds,Honey,Coconut Oil,Pepper,Chia Seeds,8.96,3.8,Contains
Cloves,Cloves,Maple Syrup,None,Salt,None,34.79,2.1,May Contain
Lentils,Lentils,Sugar,Olive Oil,Pepper,Lentils,39.93,2,Contains
Walnuts,Walnuts,Maple Syrup,Olive Oil,Pepper,Walnuts,16.37,1.9,Safe
Tomato,Tomato,Honey,Coconut Oil,Pepper,None,42.26,3.7,May Contain
Fig,Fig,Maple Syrup,Butter,None,None,24.7,3.2,Contains
Butter,Butter,None,Olive Oil,None,Butter,34.13,2.9,May Contain
Hazelnuts,Hazelnuts,Sugar,Olive Oil,Pepper,Hazelnuts,46.01,3.4,Contains
Benzoates,Benzoates,Maple Syrup,Coconut Oil,None,None,48.76,1,May Contain
Potassium Sorbate,Potassium Sorbate,None,Butter,Salt,None,29.46,4.7,May Contain
Mushroom,Mushroom,Sugar,None,Salt,None,40.72,3.8,Contains
Barley,Barley,Maple Syrup,Coconut Oil,Pepper,Barley,29.84,3,Contains
Milk,Milk,None,Olive Oil,Pepper,Milk,43.11,2.7,May Contain
Walnuts,Walnuts,Honey,None,Pepper,Walnuts,35.76,4.3,Safe
Condensed Milk,Condensed Milk,Honey,Olive Oil,Pepper,Condensed Milk,27.25,3.1,May Contain
Cherry,Cherry,Honey,Coconut Oil,Garlic,None,18.98,4.1,Contains
Coconut Oil,Coconut Oil,Maple Syrup,Coconut Oil,Garlic,None,45.62,2.7,Safe
Papaya,Papaya,Honey,Coconut Oil,Salt,None,45.28,1.8,May Contain
Veal,Veal,Sugar,None,Pepper,None,26.66,3.3,Contains
Rabbit,Rabbit,Honey,None,Garlic,None,19.22,4.4,Safe
Ghee,Ghee,Honey,None,Salt,Ghee,38.53,1.1,Safe
Sesame Seeds,Sesame Seeds,Maple Syrup,None,Garlic,Sesame Seeds,17.23,4.7,May Contain
Pork,Pork,Sugar,Coconut Oil,Salt,None,10.02,2.1,Contains
Peas,Peas,Maple Syrup,Butter,None,None,49.07,3.7,Safe
Sunflower Oil,Sunflower Oil,Honey,Coconut Oil,Salt,None,28.43,1.9,May Contain
Basil,Basil,Sugar,Butter,None,None,9.25,3.5,Contains
Pineapple,Pineapple,Honey,None,Pepper,None,33.32,2.9,Safe
Apple,Apple,Maple Syrup,Coconut Oil,Pepper,None,25.05,1.5,Safe
Artificial Coloring,Artificial Coloring,None,Coconut Oil,Salt,None,23.13,2.2,Safe
Canola Oil,Canola Oil,Sugar,None,Pepper,None,6.59,4.1,May Contain
Almonds,Almonds,Maple Syrup,Butter,Garlic,Almonds,40.34,1,May Contain
Blackberry,Blackberry,Honey,None,None,None,18.14,2.2,Contains
Orange,Orange,Maple Syrup,Olive Oil,Salt,None,41.56,3,Safe
Lobster,Lobster,Honey,None,None,Lobster,24.98,1.7,Contains
Goat,Goat,Maple Syrup,Butter,Pepper,None,36.24,3.4,May Contain
Corn,Corn,Sugar,None,Garlic,Corn,9.67,2.9,May Contain
Cheese,Cheese,Maple Syrup,None,Salt,Cheese,18.78,2.5,May Contain
Pine Nuts,Pine Nuts,None,Butter,Salt,Pine Nuts,44.73,1.5,May Contain
Parsnip,Parsnip,None,Butter,None,None,20.07,4.2,May Contain
Goat,Goat,Maple Syrup,Butter,Pepper,None,49.45,1.8,Contains
Cumin,Cumin,Sugar,None,Pepper,None,8.43,1,Contains
Ghee,Ghee,Honey,Butter,Salt,Ghee,47.78,1.5,Safe
Tuna,Tuna,Honey,None,Salt,Tuna,10.55,2.2,May Contain
Cherry,Cherry,None,Butter,None,None,15.68,1.8,May Contain
Shrimp,Shrimp,Maple Syrup,None,None,Shrimp,15.99,2.2,Safe
Carrageenan,Carrageenan,Sugar,Olive Oil,None,None,22.2,1.5,May Contain
Lettuce,Lettuce,None,Butter,Pepper,None,49.85,3.5,May Contain
Bell Pepper,Bell Pepper,Honey,Olive Oil,Pepper,None,10.62,2.3,Contains
Bell Pepper,Bell Pepper,Maple Syrup,Butter,Pepper,None,47.82,2.6,Contains
Rye,Rye,Honey,Coconut Oil,None,Rye,40.52,4.1,May Contain
Coconut Oil,Coconut Oil,Honey,Coconut Oil,Pepper,None,12.13,3.3,May Contain
Parsnip,Parsnip,Sugar,None,Pepper,None,32.39,1.5,Contains
Carrageenan,Carrageenan,None,None,None,None,16.48,4.3,Safe
Cashews,Cashews,Maple Syrup,None,Garlic,Cashews,43.15,2.1,Safe
Condensed Milk,Condensed Milk,None,Coconut Oil,None,Condensed Milk,30.09,3.2,Safe
Carrot,Carrot,Sugar,Olive Oil,Garlic,None,12.82,1.3,Safe
Beef,Beef,None,Butter,None,None,47.32,3,Safe
Cumin,Cumin,None,Butter,Salt,None,7.18,3.6,Contains
Whey,Whey,None,Olive Oil,Salt,Whey,44.67,4.4,Contains
Kiwi,Kiwi,Sugar,Olive Oil,Garlic,None,41.56,1.7,Contains
Carrageenan,Carrageenan,None,None,Salt,None,37.25,4.1,Contains
Mussels,Mussels,Maple Syrup,Olive Oil,Salt,Mussels,41.85,1,Contains
Condensed Milk,Condensed Milk,Maple Syrup,None,Garlic,Condensed Milk,31.77,1.9,May Contain
Sardines,Sardines,Sugar,Butter,Salt,Sardines,40.75,1.3,May Contain
Cinnamon,Cinnamon,None,Butter,None,None,46.08,1,Safe
Cloves,Cloves,Maple Syrup,Coconut Oil,Pepper,None,46.73,4.3,Safe
Duck,Duck,Maple Syrup,Olive Oil,None,None,27.88,1.6,Safe
Sweet Potato,Sweet Potato,Maple Syrup,None,None,None,30.96,3.6,May Contain
Duck,Duck,Honey,Olive Oil,Salt,None,23.55,1.9,Contains
Sulfites,Sulfites,Maple Syrup,Butter,Garlic,None,43.6,2.5,May Contain
Whey,Whey,Honey,Butter,Pepper,Whey,18.12,1.6,Safe
Blackberry,Blackberry,Maple Syrup,Coconut Oil,None,None,45.43,3.1,Safe
Hazelnuts,Hazelnuts,None,Butter,Pepper,Hazelnuts,34.37,4,Contains
Cabbage,Cabbage,Sugar,Butter,Salt,None,15.37,3.5,Contains
Lamb,Lamb,Maple Syrup,None,Garlic,None,20.9,1.6,May Contain
Sweet Potato,Sweet Potato,Honey,None,Pepper,None,18.05,2,Contains
Potassium Sorbate,Potassium Sorbate,None,None,Garlic,None,38.61,2.1,Contains
Chicken,Chicken,Sugar,None,None,None,26.1,3.3,Safe
Thyme,Thyme,None,Olive Oil,Salt,None,18.44,2.7,May Contain
Avocado Oil,Avocado Oil,Maple Syrup,Coconut Oil,Pepper,None,28.98,4,Safe
Turkey,Turkey,Maple Syrup,Olive Oil,Salt,None,21.63,2.6,May Contain
Tomato,Tomato,Maple Syrup,Olive Oil,Garlic,None,30.4,4.1,Safe
Cream,Cream,Honey,None,None,Cream,16.29,3,May Contain
Watermelon,Watermelon,Maple Syrup,Olive Oil,Pepper,None,27.64,2.6,Contains
Watermelon,Watermelon,Honey,Olive Oil,Pepper,None,46.38,1.1,May Contain
Hazelnuts,Hazelnuts,Maple Syrup,Olive Oil,Pepper,Hazelnuts,44.22,2.5,Safe
Saffron,Saffron,Maple Syrup,Butter,Salt,None,10.47,4.2,Safe
Pomegranate,Pomegranate,Maple Syrup,None,Garlic,None,26.64,3.7,Safe
Pine Nuts,Pine Nuts,Maple Syrup,Butter,Garlic,Pine Nuts,42.51,2,May Contain
Kiwi,Kiwi,None,None,None,None,31.86,1.9,Contains
Artificial Coloring,Artificial Coloring,Sugar,Coconut Oil,Salt,None,5.64,1.5,May Contain
Ginger,Ginger,Sugar,Coconut Oil,Pepper,None,44.72,2.6,Safe
Carrot,Carrot,None,Coconut Oil,Garlic,None,42.16,2.4,Contains
Canola Oil,Canola Oil,Maple Syrup,None,None,None,30.04,1.6,Contains
Turmeric,Turmeric,None,Coconut Oil,Pepper,None,5.17,1.3,Contains
Olive Oil,Olive Oil,Maple Syrup,Coconut Oil,Garlic,None,24.25,4,Contains
Chicken,Chicken,None,None,Garlic,None,40.43,2.3,Safe
Soybeans,Soybeans,None,None,Salt,Soybeans,35.53,3.2,Safe
Dill,Dill,None,Butter,Garlic,None,30.76,2.8,Safe
Nitrates,Nitrates,Sugar,Olive Oil,Garlic,None,39.43,3.4,Safe
Chia Seeds,Chia Seeds,Honey,Coconut Oil,Pepper,Chia Seeds,43.28,2.7,Contains
Macadamia Nuts,Macadamia Nuts,None,Coconut Oil,Garlic,Macadamia Nuts,36.36,3.3,May Contain
Brazil Nuts,Brazil Nuts,Sugar,Olive Oil,Pepper,Brazil Nuts,45.18,4.9,Safe
Ghee,Ghee,Sugar,None,Salt,Ghee,38.14,2.4,May Contain
Sulfites,Sulfites,None,Coconut Oil,Garlic,None,25.99,4.8,Contains
Saffron,Saffron,Sugar,Olive Oil,Salt,None,9.98,2.3,May Contain
Sulfites,Sulfites,Honey,None,Salt,None,36.41,1.1,Contains
Coconut Oil,Coconut Oil,Maple Syrup,None,Garlic,None,21.39,1.6,Contains
Turkey,Turkey,Honey,Olive Oil,Salt,None,29.4,3.3,Contains
Cheese,Cheese,None,Olive Oil,Pepper,Cheese,8.44,5,May Contain
Ghee,Ghee,None,Olive Oil,None,Ghee,46.13,4.2,Safe
Condensed Milk,Condensed Milk,Sugar,None,None,Condensed Milk,34.8,3.7,Contains
Garlic,Garlic,Maple Syrup,None,None,None,41.43,4.7,Contains
Canola Oil,Canola Oil,Maple Syrup,None,None,None,11.11,1.6,Safe
Sardines,Sardines,None,Butter,None,Sardines,42.98,2.1,Safe
Peas,Peas,Sugar,Butter,Pepper,None,42.03,1.6,Contains
Peach,Peach,None,Olive Oil,Salt,None,7.16,3.2,Safe
Radish,Radish,Honey,Olive Oil,Salt,None,24.68,2.7,Safe
Nitrates,Nitrates,Maple Syrup,Butter,Garlic,None,25.85,3.9,Safe
Condensed Milk,Condensed Milk,None,Butter,Pepper,Condensed Milk,14.45,2.2,Contains
Milk,Milk,Honey,Coconut Oil,Pepper,Milk,21.81,2.8,May Contain
Sesame Seeds,Sesame Seeds,Sugar,Butter,None,Sesame Seeds,9.73,4.8,Contains
Pear,Pear,Honey,Butter,Garlic,None,27.56,2.6,Safe
Barley,Barley,None,None,None,Barley,25.89,1.3,Safe
Spelt,Spelt,Maple Syrup,Butter,Garlic,Spelt,38.31,3.5,Contains
Saffron,Saffron,Maple Syrup,Coconut Oil,Salt,None,24.71,3,Contains
Macadamia Nuts,Macadamia Nuts,Sugar,Coconut Oil,Pepper,Macadamia Nuts,44.19,2.2,Contains
Pine Nuts,Pine Nuts,None,Butter,Salt,Pine Nuts,44.04,4.9,Contains
Rice,Rice,Honey,Olive Oil,Garlic,Rice,44.9,1.4,Safe
Rabbit,Rabbit,None,None,Salt,None,46.8,1.9,May Contain
Yogurt,Yogurt,Honey,Coconut Oil,Garlic,Yogurt,20.45,1.7,May Contain
Crab,Crab,Honey,Olive Oil,Garlic,Crab,20.5,3.8,Safe
Quail,Quail,Maple Syrup,None,Salt,None,14.95,2.7,Safe
Bell Pepper,Bell Pepper,None,Olive Oil,None,None,31.24,4,Safe
Kiwi,Kiwi,None,None,Salt,None,27.17,2.4,May Contain
Ginger,Ginger,Sugar,Butter,Pepper,None,14.84,4.6,May Contain
Rice,Rice,None,Coconut Oil,None,Rice,33.56,1,May Contain
Cinnamon,Cinnamon,Sugar,None,None,None,7.6,1.8,May Contain
Shrimp,Shrimp,Sugar,Olive Oil,Salt,Shrimp,20.04,1.8,May Contain
Butter,Butter,Sugar,None,None,Butter,32.15,3.9,May Contain
Turmeric,Turmeric,Maple Syrup,None,Salt,None,32.89,3.7,Contains
Macadamia Nuts,Macadamia Nuts,None,Butter,Pepper,Macadamia Nuts,25.03,2.3,Safe
Pomegranate,Pomegranate,Sugar,Coconut Oil,None,None,22.16,3.1,Safe
Pine Nuts,Pine Nuts,Sugar,Olive Oil,Garlic,Pine Nuts,8.43,1.1,May Contain
Mushroom,Mushroom,None,Olive Oil,Garlic,None,6.5,2.3,Contains
Pumpkin Seeds,Pumpkin Seeds,Maple Syrup,Olive Oil,Garlic,Pumpkin Seeds,22.61,3.3,Safe
Papaya,Papaya,Maple Syrup,None,None,None,21.06,3.5,Contains
Tuna,Tuna,None,Olive Oil,Pepper,Tuna,25.04,1.8,Safe
Orange,Orange,Maple Syrup,Olive Oil,Salt,None,11.97,1.4,Contains
Whey,Whey,Honey,None,None,Whey,8.39,4.8,May Contain
Rye,Rye,Honey,Olive Oil,Salt,Rye,7.49,3.3,Contains
Corn,Corn,Honey,Olive Oil,Pepper,Corn,16.76,1.6,Safe
Sunflower Seeds,Sunflower Seeds,None,Olive Oil,Garlic,Sunflower Seeds,5.52,4.4,Contains
Cantaloupe,Cantaloupe,Sugar,Olive Oil,Garlic,None,8.2,1.8,May Contain
Mushroom,Mushroom,None,None,None,None,39.32,2.8,Contains
Celery,Celery,None,None,None,None,46.84,2.8,Contains
Leek,Leek,Honey,Butter,Pepper,None,40.47,1.6,Safe
Kiwi,Kiwi,Maple Syrup,Coconut Oil,Pepper,None,26.86,1.8,May Contain
Salmon,Salmon,Maple Syrup,Butter,Salt,Salmon,16.53,4.6,May Contain
Peanuts,Peanuts,Maple Syrup,Olive Oil,Pepper,Peanuts,11.49,4.7,Safe
Duck,Duck,None,Butter,Pepper,None,29.29,1.5,Safe
Hemp Seeds,Hemp Seeds,Sugar,None,Salt,Hemp Seeds,22.48,1.1,Contains
Cantaloupe,Cantaloupe,Honey,Coconut Oil,Salt,None,17.8,3.8,Safe
Tomato,Tomato,Maple Syrup,Coconut Oil,Garlic,None,10.19,3.6,Contains
Olive Oil,Olive Oil,Honey,Butter,Garlic,None,34.18,4.5,Contains
Shrimp,Shrimp,None,Butter,None,Shrimp,14.49,4.9,Contains
Chicken,Chicken,Sugar,Olive Oil,None,None,39.26,3.1,Safe
Cherry,Cherry,None,Butter,Pepper,None,13.27,3.7,May Contain
Sesame Oil,Sesame Oil,None,Olive Oil,Pepper,None,18.35,3.3,May Contain
Benzoates,Benzoates,Sugar,Coconut Oil,None,None,32.25,4.4,Safe
MSG,MSG,Sugar,Olive Oil,Garlic,None,46.79,2.6,Contains
Cod,Cod,Honey,Butter,Garlic,Cod,39.69,3.9,Safe
Sulfites,Sulfites,Sugar,Coconut Oil,Pepper,None,21.33,4.6,Safe
Beetroot,Beetroot,Sugar,Coconut Oil,Garlic,None,35.06,3.4,Contains
Garlic,Garlic,Honey,Olive Oil,Salt,None,42.6,2.2,Contains
Carrageenan,Carrageenan,None,None,Salt,None,16.71,4.8,May Contain
Oysters,Oysters,None,Butter,Pepper,Oysters,24.84,1,Safe
Lobster,Lobster,Honey,Olive Oil,Salt,Lobster,19.25,2.7,May Contain
Basil,Basil,Maple Syrup,None,Garlic,None,25.68,3.9,Contains
Peach,Peach,Honey,None,None,None,20.79,3,Contains
Black Beans,Black Beans,Sugar,Olive Oil,Pepper,Black Beans,40.9,1.5,Safe
Pomegranate,Pomegranate,Sugar,None,None,None,14.13,4.5,Contains
Nitrates,Nitrates,None,Butter,Garlic,None,49.35,3.7,Safe
Carrageenan,Carrageenan,Honey,Olive Oil,Salt,None,32.51,1.4,May Contain
Potato,Potato,Maple Syrup,Olive Oil,Garlic,None,12.65,1,Contains
Coconut Oil,Coconut Oil,Sugar,None,Salt,None,21.33,2.5,Contains
Turnip,Turnip,None,None,Pepper,None,42.82,1,May Contain
Nitrates,Nitrates,Maple Syrup,Butter,None,None,40.79,3.3,May Contain
Sunflower Oil,Sunflower Oil,Maple Syrup,Coconut Oil,Salt,None,35.74,3.9,Safe
Lamb,Lamb,None,Butter,Salt,None,6.17,1,Contains
Basil,Basil,None,Coconut Oil,None,None,36,3.3,May Contain
Lobster,Lobster,Maple Syrup,Coconut Oil,None,Lobster,7.53,4.7,Contains
Cheese,Cheese,None,Olive Oil,None,Cheese,36.92,3.3,Safe
Farro,Farro,Sugar,Butter,Salt,Farro,11.71,2.1,Safe
Milk,Milk,None,Butter,Pepper,Milk,12.17,2,Contains
Sesame Seeds,Sesame Seeds,Honey,Coconut Oil,None,Sesame Seeds,38.81,3.8,Safe
Cardamom,Cardamom,Sugar,Butter,Salt,None,13.72,3.4,Contains
Celery,Celery,Maple Syrup,Butter,Pepper,None,5.72,2.1,Contains
Sodium Benzoate,Sodium Benzoate,Sugar,Coconut Oil,None,None,30.64,2.5,May Contain
Carrageenan,Carrageenan,None,None,Garlic,None,42.43,2.3,Safe
Goat,Goat,Maple Syrup,Olive Oil,Salt,None,17.06,3.4,Contains
Artificial Coloring,Artificial Coloring,Honey,Butter,Pepper,None,5.35,3.6,Contains
Hemp Seeds,Hemp Seeds,Sugar,Coconut Oil,None,Hemp Seeds,28.09,1.4,Contains
Thyme,Thyme,None,None,None,None,27.4,2,Contains
Sodium Benzoate,Sodium Benzoate,Sugar,Coconut Oil,Salt,None,39.67,1.7,May Contain
Chicken,Chicken,Sugar,None,None,None,15.56,3.6,Safe
Cottage Cheese,Cottage Cheese,Sugar,Coconut Oil,Salt,Cottage Cheese,14.39,3.2,Contains
Okra,Okra,Sugar,None,Pepper,None,21.1,3.2,Contains
Turkey,Turkey,None,Olive Oil,Salt,None,37.14,2.4,Contains
Cream,Cream,Sugar,None,Garlic,Cream,12.92,3,May Contain
Coconut Oil,Coconut Oil,Maple Syrup,Coconut Oil,Pepper,None,21.01,4.8,Contains
Milk,Milk,Sugar,Coconut Oil,Salt,Milk,14.4,1.4,Contains
Sardines,Sardines,Honey,Butter,Garlic,Sardines,36.97,3,Safe
Flaxseed Oil,Flaxseed Oil,None,Olive Oil,None,None,21.37,1.8,May Contain
Farro,Farro,Honey,None,None,Farro,30.5,3.6,Contains
Cabbage,Cabbage,Sugar,Coconut Oil,Garlic,None,37.51,3.9,Contains
Butter,Butter,None,Coconut Oil,Pepper,Butter,9.19,2.3,May Contain
Bell Pepper,Bell Pepper,None,None,Garlic,None,13.09,1.7,Safe
Watermelon,Watermelon,Sugar,Olive Oil,None,None,43.72,3.5,Contains
Soybeans,Soybeans,Maple Syrup,Butter,Garlic,Soybeans,41.84,3.9,May Contain
Thyme,Thyme,Honey,Butter,Salt,None,14.43,1,Contains
Orange,Orange,Sugar,None,Pepper,None,19.78,4,Safe
Mushroom,Mushroom,Sugar,Coconut Oil,Garlic,None,31.94,2.2,Safe
Turnip,Turnip,Maple Syrup,Butter,Pepper,None,48.97,3.4,Contains
Cherry,Cherry,Sugar,Olive Oil,None,None,12.43,4,May Contain
Chicken,Chicken,Sugar,Olive Oil,Salt,None,19.93,3.8,May Contain
Aspartame,Aspartame,Honey,Butter,Salt,None,47.29,4.2,Safe
Potato,Potato,Sugar,Coconut Oil,None,None,27.57,3.1,May Contain
Artificial Coloring,Artificial Coloring,Maple Syrup,Coconut Oil,None,None,48.21,3.7,Contains
Sesame Seeds,Sesame Seeds,Maple Syrup,Olive Oil,Pepper,Sesame Seeds,14.75,1.5,Safe
Artificial Coloring,Artificial Coloring,Maple Syrup,Butter,Salt,None,36.63,1.5,Safe
Mussels,Mussels,Maple Syrup,Olive Oil,Salt,Mussels,7.64,2,May Contain
Lobster,Lobster,Honey,None,Garlic,Lobster,49.85,1.3,May Contain
Whey,Whey,None,None,None,Whey,26.02,4.4,Contains
Mussels,Mussels,Honey,None,Pepper,Mussels,9.4,1.7,Safe
Lobster,Lobster,None,None,Garlic,Lobster,17.03,1.7,Contains
Pineapple,Pineapple,Honey,Olive Oil,Pepper,None,15.37,3.3,Contains
Curd,Curd,Sugar,Butter,Garlic,Curd,34.55,1.7,Contains
Chickpeas,Chickpeas,Honey,Coconut Oil,Garlic,Chickpeas,31.43,3.8,Contains
Cauliflower,Cauliflower,Maple Syrup,Butter,Salt,None,43.67,4.7,Safe
Butter,Butter,None,Butter,None,Butter,31.15,4.8,Safe
Cod,Cod,None,Olive Oil,None,Cod,18.8,4.1,May Contain
Hazelnuts,Hazelnuts,None,Olive Oil,None,Hazelnuts,35.11,1.4,May Contain
Turkey,Turkey,None,Coconut Oil,None,None,45.52,2.5,May Contain
Watermelon,Watermelon,Sugar,Coconut Oil,Garlic,None,6.06,4.7,Contains
Benzoates,Benzoates,Honey,None,Pepper,None,23.35,4.9,May Contain
MSG,MSG,Sugar,None,Pepper,None,43.41,3,May Contain
Spelt,Spelt,Maple Syrup,Butter,None,Spelt,23.16,4.5,Contains
Grapes,Grapes,Maple Syrup,Coconut Oil,Pepper,None,47.17,2.5,Safe
Cheese,Cheese,Sugar,Coconut Oil,Garlic,Cheese,44.77,1.3,Contains
Sesame Seeds,Sesame Seeds,None,Olive Oil,None,Sesame Seeds,23.81,4.4,Contains
Rice,Rice,None,Olive Oil,Pepper,Rice,18.61,3.4,Safe
Benzoates,Benzoates,Honey,Coconut Oil,Salt,None,30.96,3.1,Contains
Cashews,Cashews,Sugar,None,None,Cashews,48.2,4.2,Safe
Turkey,Turkey,Honey,None,Pepper,None,17.1,1.7,May Contain
Yogurt,Yogurt,Maple Syrup,Olive Oil,Salt,Yogurt,11.03,2.7,May Contain
Avocado Oil,Avocado Oil,Maple Syrup,Butter,Salt,None,40.17,1.3,Contains
Dill,Dill,Sugar,Butter,Salt,None,11.49,3.7,May Contain
Curd,Curd,None,Coconut Oil,Pepper,Curd,15.53,3.9,May Contain
Flaxseed Oil,Flaxseed Oil,None,Butter,Pepper,None,44.23,3.1,Contains
Celery,Celery,Honey,Butter,Garlic,None,41.82,4.1,Contains
Yogurt,Yogurt,Honey,Olive Oil,Pepper,Yogurt,43.25,3.6,Contains
Canola Oil,Canola Oil,None,Olive Oil,Garlic,None,26.8,3.3,May Contain
Almonds,Almonds,Maple Syrup,Butter,Garlic,Almonds,37.99,3.3,Contains
Curd,Curd,Honey,Butter,Garlic,Curd,11.07,4.3,May Contain
Cantaloupe,Cantaloupe,None,Coconut Oil,Garlic,None,36.98,2.1,May Contain
Goat,Goat,Maple Syrup,Butter,Garlic,None,29.02,1.8,Safe
Nitrates,Nitrates,None,Coconut Oil,Garlic,None,33.7,4.7,Contains
Canola Oil,Canola Oil,Sugar,Coconut Oil,None,None,33.12,3.2,Safe
Rye,Rye,None,None,Pepper,Rye,25.45,4.3,Contains
Walnuts,Walnuts,Maple Syrup,Butter,Pepper,Walnuts,45.71,4.2,Contains
Pomegranate,Pomegranate,Sugar,None,Salt,None,17.42,2,Contains
Butter,Butter,Sugar,Butter,Salt,Butter,49.78,4.8,May Contain
Cod,Cod,Maple Syrup,Coconut Oil,Salt,Cod,23.43,2.8,May Contain
Cod,Cod,Sugar,Olive Oil,Pepper,Cod,18.26,1.4,May Contain
Cream,Cream,None,Olive Oil,Salt,Cream,47.69,2.8,May Contain
Sardines,Sardines,Sugar,None,Garlic,Sardines,11.47,4.2,Safe
Spelt,Spelt,None,Coconut Oil,None,Spelt,46.45,1.2,Safe
Barley,Barley,Maple Syrup,Coconut Oil,Garlic,Barley,48.05,1.3,May Contain
Sesame Oil,Sesame Oil,Sugar,Coconut Oil,Salt,None,14.29,1.8,Safe
Cabbage,Cabbage,Honey,Butter,None,None,39.94,4.1,Contains
Lychee,Lychee,Honey,Olive Oil,None,None,44.92,2,Contains
Chicken,Chicken,Sugar,Coconut Oil,Garlic,None,9.03,4.7,Contains
Radish,Radish,Maple Syrup,Butter,Salt,None,20.12,1.1,Contains
Spinach,Spinach,Sugar,Olive Oil,None,None,42.2,4.7,May Contain
Sunflower Seeds,Sunflower Seeds,Maple Syrup,Butter,None,Sunflower Seeds,25.49,1.5,Contains
Turkey,Turkey,Honey,Olive Oil,Salt,None,47.07,4.7,May Contain
Benzoates,Benzoates,Honey,Coconut Oil,Salt,None,15.37,1.2,May Contain
Crab,Crab,Honey,None,Pepper,Crab,19.34,3.2,Contains
Veal,Veal,None,Coconut Oil,None,None,44.87,3.8,May Contain
Farro,Farro,Sugar,Olive Oil,Salt,Farro,18.12,1.4,Safe
Benzoates,Benzoates,Honey,Olive Oil,Pepper,None,12.63,3.9,Contains
Buckwheat,Buckwheat,Maple Syrup,None,Salt,Buckwheat,25.75,2.6,Contains
Okra,Okra,None,Coconut Oil,Garlic,None,24.75,2.4,May Contain
